pol	6	8	10	12	14	16	20
UpTwa	44.2	43.4	41.5	39.6	38.4	37.6	37.1
UpVMG	3.03	3.71	4.13	4.36	4.52	4.63	4.73
52	4.73	5.69	6.12	6.34	6.49	6.6	6.71
60	5.09	5.97	6.37	6.62	6.76	6.85	6.95
75	5.42	6.23	6.67	6.9	7.06	7.16	7.3
90	5.66	6.41	6.85	7.09	7.22	7.33	7.6
110	5.43	6.25	6.75	7.08	7.35	7.62	7.98
120	5.05	6.04	6.58	6.97	7.27	7.59	8.14
135	4.35	5.48	6.19	6.67	7.01	7.31	7.98
140	4.1	5.1	5.6	6.22	6.67	7.01	7.61
180	2.9	3.84	4.71	5.52	6.11	6.55	7.17
DnTwa	144.3	148.3	153	165.9	173.6	175	177.1
DnVMG	3.15	4.04	4.86	5.59	6.13	6.56	7.18
