TWS_knot	6.0	8.0	10.0	12.0	14.0	16.0	20.0
Beat_Angle_true	44.8	43.6	42.4	40.8	39.8	39.2	39.1
Beat_VMG_knot	3.63	4.45	4.97	5.28	5.49	5.62	5.72
52	5.70	6.87	7.52	7.85	8.06	8.19	8.31
60	6.15	7.28	7.91	8.24	8.42	8.53	8.64
75	6.56	7.62	8.24	8.63	8.85	8.98	9.16
90	6.76	7.92	8.52	8.81	8.98	9.25	9.67
110	6.65	7.78	8.44	8.89	9.32	9.69	10.16
120	6.24	7.47	8.22	8.72	9.16	9.66	10.61
135	5.30	6.66	7.63	8.29	8.75	9.19	10.22
150	4.38	5.61	6.69	7.56	8.20	8.66	9.52
Gybe_Angle_true	140.7	144.3	148.7	156.9	165.1	170.4	175.4
Run_VMG_knot	3.79	4.86	5.79	6.60	7.31	7.92	8.81
