WindVelocity 6 8 10 12 14 16 20
BeatAngles 43.7° 42.3° 41.9° 40.5° 39.3° 38.5° 38.3°
BeatVMG 3.33 4.06 4.63 5.10 5.33 5.45 5.52
52° 5.13 6.16 6.94 7.38 7.57 7.66 7.72
60° 5.46 6.52 7.20 7.56 7.78 7.89 7.97
75° 5.74 6.79 7.37 7.70 7.99 8.25 8.49
90° 5.80 6.97 7.55 7.74 7.98 8.25 8.87
110° 5.76 6.99 7.61 8.04 8.47 8.71 9.11
120° 5.60 6.81 7.50 7.93 8.39 8.90 9.46
135° 5.02 6.20 7.10 7.60 7.99 8.44 9.47
150° 4.20 5.30 6.29 7.11 7.59 7.97 8.84
GybeAngles 139.9° 148.9° 151.9° 160.2° 174.0° 178.3° 178.1°
RunVMG 3.64 4.59 5.45 6.26 6.99 7.49 8.26
