!Expedition polar
4	30	2.47	46.2	4.07	50	4.34	60	4.89	70	5.23	75	5.33	80	5.38	90	5.36	100	5.12	110	4.85	120	4.69	130	4.29	135	4.00	137.6	3.84	180	2.15
6	30	3.72	44.3	5.60	50	6.09	60	6.67	70	6.99	75	7.08	80	7.12	90	7.09	100	6.89	110	6.86	120	6.65	130	6.16	135	5.82	140.5	5.40	180	3.27
8	30	4.67	42.1	6.49	50	7.17	60	7.63	70	7.87	75	7.93	80	7.97	90	7.95	100	8.01	110	7.99	120	7.80	130	7.44	140	6.86	144.8	6.50	180	4.36
10	30	5.31	40.6	6.87	45	7.28	60	8.03	70	8.36	75	8.47	80	8.54	90	8.56	100	8.63	110	8.68	120	8.53	130	8.22	140	7.79	149.8	7.21	180	5.41
12	30	5.66	39.4	7.04	45	7.51	60	8.24	70	8.61	75	8.77	80	8.91	90	9.07	100	8.99	110	9.15	120	9.17	130	8.89	140	8.48	154.1	7.69	180	6.38
14	30	5.84	38.8	7.13	45	7.64	60	8.41	70	8.80	75	8.98	80	9.16	90	9.50	100	9.56	110	9.52	120	9.75	130	9.59	140	9.12	158.9	8.04	180	7.24
16	30	5.90	38.5	7.19	45	7.73	60	8.53	70	8.96	75	9.17	80	9.38	90	9.79	100	10.07	110	9.92	120	10.19	135	10.12	150	9.16	164.7	8.38	180	7.89
20	30	5.77	39.0	7.28	45	7.81	60	8.70	70	9.21	75	9.48	80	9.74	90	10.28	100	10.86	110	11.28	120	11.12	135	11.92	150	10.60	162.7	9.64	180	8.96
25	30	5.15	40.7	7.32	45	7.77	60	8.80	70	9.41	75	9.73	80	10.06	90	10.85	100	11.68	110	12.55	120	13.11	130	13.35	140	14.43	146.3	14.06	180	10.46
30	30	3.89	43.4	7.33	50	8.04	60	8.78	70	9.48	75	9.85	80	10.25	90	11.27	100	12.35	110	13.58	120	14.97	130	15.45	140	17.03	149.3	17.62	180	12.53
