TWSknop:6,8,10,12,14,16,20
kryssvinkel:45.2,41.4,40.4,40.0,39.8,39.9,39.9
kryssVMG:3.550,4.224,4.561,4.765,4.880,4.951,4.960
52.5:5.514,6.369,6.818,7.039,7.178,7.261,7.311
60:5.787,6.677,7.125,7.344,7.492,7.575,7.670
75:6.235,7.013,7.473,7.830,8.024,8.164,8.345
90:6.733,7.380,7.726,7.957,8.303,8.613,8.923
105:6.775,7.537,8.031,8.326,8.582,8.812,9.197
120:6.381,7.326,8.021,8.573,8.999,9.273,9.753
135:5.605,6.634,7.317,7.881,8.439,8.935,9.813
150:3.928,5.127,5.953,6.638,7.190,7.658,8.557
165:2.996,3.970,4.897,5.706,6.375,6.934,7.763
180:2.799,3.752,4.617,5.450,6.115,6.727,7.632
gippvinkel:137.7,139.6,142.0,145.1,148.8,175.7,179.0
lansVMG:4.005,4.750,5.344,5.823,6.231,6.727,7.640
